Date : 2023-03-13 22:53:06
Directory : c:\Users\user\Documents\Final year project\coding\wellighten_frontend
Total : 133 files,  2545 codes, 396 comments, 292 blanks, all 3233 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\otp_verification\state.tsx                  | TypeScript JSX     |          2 |          0 |          2 |          4 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\otp_verification\style.module.css           | CSS                |         14 |          2 |          1 |         17 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\register\api.tsx                            | TypeScript JSX     |          6 |          0 |          1 |          7 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\register\index.tsx                          | TypeScript JSX     |        109 |          0 |          6 |        115 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\register\interface.tsx                      | TypeScript JSX     |          8 |          0 |          1 |          9 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\register\state.tsx                          | TypeScript JSX     |          2 |          0 |          1 |          3 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\register\style.module.css                   | CSS                |          8 |          0 |          0 |          8 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\api.tsx                            | TypeScript JSX     |          6 |          0 |          1 |          7 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\components\blackBox.tsx            | TypeScript JSX     |         15 |          0 |          1 |         16 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\components\offeringCard.tsx        | TypeScript JSX     |         24 |          0 |          1 |         25 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\index.tsx                          | TypeScript JSX     |         99 |          0 |          4 |        103 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\interface.tsx                      | TypeScript JSX     |          8 |          0 |          1 |          9 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\state.tsx                          | TypeScript JSX     |          2 |          0 |          1 |          3 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\style.module.css                   | CSS                |         26 |          0 |          5 |         31 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\api.tsx                                | TypeScript JSX     |          6 |          0 |          1 |          7 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\components\blackBox.tsx                | TypeScript JSX     |         15 |          0 |          1 |         16 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\components\offeringCard.tsx            | TypeScript JSX     |         24 |          0 |          1 |         25 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\index.tsx                              | TypeScript JSX     |         60 |          0 |          8 |         68 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\interface.tsx                          | TypeScript JSX     |          8 |          0 |          1 |          9 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\state.tsx                              | TypeScript JSX     |          2 |          0 |          1 |          3 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\style.module.css                       | CSS                |          7 |          0 |          0 |          7 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\api.tsx                     | TypeScript JSX     |          6 |          0 |          1 |          7 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\capture.tsx                 | TypeScript JSX     |         44 |          0 |          7 |         51 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\components\blackBox.tsx     | TypeScript JSX     |         15 |          0 |          1 |         16 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\components\offeringCard.tsx | TypeScript JSX     |         24 |          0 |          1 |         25 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\index.tsx                   | TypeScript JSX     |         65 |          1 |         11 |         77 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\interface.tsx               | TypeScript JSX     |          8 |          0 |          1 |          9 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\state.tsx                   | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\style.module.css            | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\_app.tsx                                       | TypeScript JSX     |         18 |          1 |          2 |         21 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\_document.tsx                                  | TypeScript JSX     |         12 |          0 |          2 |         14 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\auth\login.tsx                                 | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\auth\otp_verification.tsx                      | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\auth\register.tsx                              | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\index.tsx                                      | TypeScript JSX     |         14 |          0 |          4 |         18 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\services\visual_diagnosis\capture.tsx          | TypeScript JSX     |          8 |          0 |          1 |          9 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\services\visual_diagnosis\index.tsx            | TypeScript JSX     |          8 |          0 |          1 |          9 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\services\visual_diagnosis\receipt.tsx          | TypeScript JSX     |          7 |          0 |          0 |          7 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\tabs.tsx                                       | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\test.tsx                                       | TypeScript JSX     |         30 |          0 |         13 |         43 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\styles\Home.module.css                               | CSS                |          0 |        278 |          1 |        279 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\styles\globals.css                                   | CSS                |         27 |         99 |          5 |        131 |
| c:\Users\user\Documents\Final year project\coding\wellighten_frontend\tsconfig.json                                            | JSON with Comments |         22 |          3 |          1 |         26 |
| Total                                                                                                                          |                    |      2,545 |        396 |        292 |      3,233 |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
